term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/MmusDv_0000051,MmusDv:0000051,MmusDv:0000051,7 weeks,Early adult stage that refers to a mouse which is over 49 days and under 57 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000021,MmusDv:0000021,MmusDv:0000021,Theiler stage 14,Organogenesis stage during which the rostral extremity of the neural tube closes in embryos with usually about 15-18 somite pairs. Late in the stage the 3rd branchial arch becomes visible.,,,
http://purl.obolibrary.org/obo/MmusDv_0000093,MmusDv:0000093,MmusDv:0000093,Theiler stage 11b,Embryonic neurula stage during which the neural plate formation occurs and the allantoic bud elongates .,,,
http://purl.obolibrary.org/obo/MmusDv_0000063,MmusDv:0000063,MmusDv:0000063,3 month-old stage,Early adult stage that refers to a mouse which is over 3 and under 4 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000033,MmusDv:0000033,MmusDv:0000033,Theiler stage 24,Fetal stage during which the umbilical hernia disappears and there is a corresponding increase in the size of the peritoneal sac.,,,
http://purl.obolibrary.org/obo/MmusDv_0000003,MmusDv:0000003,MmusDv:0000003,Theiler stage 01,Embryonic stage defined by a one-cell embryo (fertilised egg) with zona pellucida present.,,,
http://purl.obolibrary.org/obo/MmusDv_0000075,MmusDv:0000075,MmusDv:0000075,middle aged stage,Late adult stage that refers to a mouse which is over 7 and under 15 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000045,MmusDv:0000045,MmusDv:0000045,1 week,Premature stage that refers to a mouse which is over 7 days and under 15 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000100,MmusDv:0000100,MmusDv:0000100,27 weeks,6 month-old stage that refers to a mouse which is over 189 days and under 197 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000015,MmusDv:0000015,MmusDv:0000015,Theiler stage 10,"Embryonic gastrula stage during which the primitive streak bulges into the pro-amniotic cavity and forms the amniotic fold; the exocoelom appears; the allantoic bud first appears, gastrulation continues and the node becomes visible.",,,
http://purl.obolibrary.org/obo/MmusDv_0000087,MmusDv:0000087,MmusDv:0000087,16 month-old stage,Aged adult stage that refers to a mouse which is over 16 and under 17 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000057,MmusDv:0000057,MmusDv:0000057,13 weeks,3 month-old stage that refers to a mouse which is over 91 days and under 99 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000038,MmusDv:0000038,MmusDv:0000038,infant stage,Immature stage that refers to a mouse which is over 1 week and under 6 weeks old.,true,,
http://purl.obolibrary.org/obo/MmusDv_0000112,MmusDv:0000112,MmusDv:0000112,premature stage,Mouse developmental stage that covers the period from P4 starting at TS28 until 5 weeks old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000027,MmusDv:0000027,MmusDv:0000027,Theiler stage 20,"Organogenesis stage during which the handplate develops angles corresponding to the future digits, and tongue and brain vesicles are clearly visible.",,,
http://purl.obolibrary.org/obo/MmusDv_0000099,MmusDv:0000099,MmusDv:0000099,26 weeks,6 month-old stage that refers to a mouse which is over 182 days and under 190 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000069,MmusDv:0000069,MmusDv:0000069,5 month-old stage,Early adult stage that refers to a mouse which is over 5 and under 6 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000039,MmusDv:0000039,MmusDv:0000039,adolescent stage,Immature stage that refers to a mouse which is over 4 weeks and under 7 weeks old.,true,,
http://purl.obolibrary.org/obo/MmusDv_0000009,MmusDv:0000009,MmusDv:0000009,Theiler stage 05,Embryonic blastula stage defined by a zona free blastocyst (zona pellucida absent).,,,
http://purl.obolibrary.org/obo/MmusDv_0000070,MmusDv:0000070,MmusDv:0000070,20 weeks,4 month-old stage that refers to a mouse which is over 140 days and under 148 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000040,MmusDv:0000040,MmusDv:0000040,adult stage,Mouse developmental stage that refers to a mouse which is over 5 weeks old.,true,MmusDv:0000110,MmusDv:0000110
http://purl.obolibrary.org/obo/MmusDv_0000010,MmusDv:0000010,MmusDv:0000010,Theiler stage 06,"Embryonic blastula stage during which the blastocyst attaches, with first evidence of embryonic endoderm cells covering the blastocoelic surface of the inner cell mass.",,,
http://purl.obolibrary.org/obo/MmusDv_0000106,MmusDv:0000106,MmusDv:0000106,Theiler stage 10b,"Theiler developmental stage 10 during which small cavities coalesce to form a single cavity in the mesoderm of the posterior amniotic fold, the exocoelom.",,,
http://purl.obolibrary.org/obo/MmusDv_0000082,MmusDv:0000082,MmusDv:0000082,11 month-old stage,Middle aged stage that refers to a mouse which is over 11 and under 12 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000052,MmusDv:0000052,MmusDv:0000052,8 weeks,2 month-old stage that refers to a mouse which is over 56 days and under 64 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000022,MmusDv:0000022,MmusDv:0000022,Theiler stage 15,Organogenesis stage during which the posterior neuropore forms and the condensation of the forelimb bud becomes apparent near the 8th-12th somite pairs.,,,
http://purl.obolibrary.org/obo/MmusDv_0000094,MmusDv:0000094,MmusDv:0000094,Theiler stage 11c,Embryonic neurula stage during which the neural plate formation occurs and the head folds are formed while the neural groove becomes visible.,,,
http://purl.obolibrary.org/obo/MmusDv_0000064,MmusDv:0000064,MmusDv:0000064,4 month-old stage,Early adult stage that refers to a mouse which is over 4 and under 5 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000034,MmusDv:0000034,MmusDv:0000034,Theiler stage 25,Fetal stage during which the thickened skin forms wrinkles and the subcutaneous veins are less visible.,,,
http://purl.obolibrary.org/obo/MmusDv_0000004,MmusDv:0000004,MmusDv:0000004,cleavage stage,Embryonic stage consisting of division of cells in the early embryo.,,,
http://purl.obolibrary.org/obo/MmusDv_0000076,MmusDv:0000076,MmusDv:0000076,aged adult stage,Late adult stage that refers to a mouse which is over 15 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000046,MmusDv:0000046,MmusDv:0000046,2 weeks,Premature stage that refers to a mouse which is over 14 days and under 22 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000101,MmusDv:0000101,MmusDv:0000101,28 weeks,6 month-old stage that refers to a mouse which is over 196 days and under 204 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000016,MmusDv:0000016,MmusDv:0000016,neurula stage,Embryonic stage defined by formation of a tube from the flat layer of ectodermal cells known as the neural plate.,true,,
http://purl.obolibrary.org/obo/MmusDv_0000088,MmusDv:0000088,MmusDv:0000088,17 month-old stage,Aged adult stage that refers to a mouse which is over 17 and under 18 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000058,MmusDv:0000058,MmusDv:0000058,14 weeks,3 month-old stage that refers to a mouse which is over 98 days and under 106 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000113,MmusDv:0000113,MmusDv:0000113,4-7 days,Premature stage that refers to the newborn mouse which is over 4 days and under 8 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000028,MmusDv:0000028,MmusDv:0000028,Theiler stage 21,"Organogenesis stage during which the digit widths and locations can be discerned, and the pinna rapidly develops and forms a crest at right angles to the head.",,,
http://purl.obolibrary.org/obo/MmusDv_0000071,MmusDv:0000071,MmusDv:0000071,21 weeks,5 month-old stage that refers to a mouse which is over 147 days and under 155 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000041,MmusDv:0000041,MmusDv:0000041,unknown,,,,
http://purl.obolibrary.org/obo/MmusDv_0000011,MmusDv:0000011,MmusDv:0000011,Theiler stage 07,Embryonic blastula stage defined by implantation and formation of the egg cylinder resulting from the rapid increase in the number of inner cell mass cells.,,,
http://purl.obolibrary.org/obo/MmusDv_0000107,MmusDv:0000107,MmusDv:0000107,Theiler stage 10c,"Theiler developmental stage 10 during which the allantoic bud first appears, gastrulation continues and the node becomes visible.",,,
http://purl.obolibrary.org/obo/MmusDv_0000083,MmusDv:0000083,MmusDv:0000083,12 month-old stage,Middle aged stage that refers to a mouse which is over 12 and under 13 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000053,MmusDv:0000053,MmusDv:0000053,9 weeks,2 month-old stage that refers to a mouse which is over 63 days and under 71 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000023,MmusDv:0000023,MmusDv:0000023,Theiler stage 16,Organogenesis stage during which the posterior neuropore closes and the hind limb bud becomes visible at the level of the 23rd-28th somites.,,,
http://purl.obolibrary.org/obo/MmusDv_0000095,MmusDv:0000095,MmusDv:0000095,Theiler stage 11d,Embryonic neurula stage during which the neural plate formation occurs and the head folds continue to enlarge while the foregut pocket begins to form.,,,
http://purl.obolibrary.org/obo/MmusDv_0000065,MmusDv:0000065,MmusDv:0000065,16 weeks,4 month-old stage that refers to a mouse which is over 112 days and under 120 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000035,MmusDv:0000035,MmusDv:0000035,Theiler stage 26,Fetal stage defined by long whiskers and during which the eyes are barely visible through the closed eyelids.,,,
http://purl.obolibrary.org/obo/MmusDv_0000005,MmusDv:0000005,MmusDv:0000005,Theiler stage 02,Embryonic cleavage stage defined by a dividing 2-4 cells egg.,,,
http://purl.obolibrary.org/obo/MmusDv_0000077,MmusDv:0000077,MmusDv:0000077,6 month-old stage,Early adult stage that refers to a mouse which is over 6 and under 7 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000047,MmusDv:0000047,MmusDv:0000047,3 weeks,Premature stage that refers to a mouse which is over 21 days and under 29 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000102,MmusDv:0000102,MmusDv:0000102,29 weeks,6 month-old stage that refers to a mouse which is over 203 days and under 211 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000017,MmusDv:0000017,MmusDv:0000017,Theiler stage 11,Embryonic stage called presomite stage and defined by the formation of the neural plate.,,,
http://purl.obolibrary.org/obo/MmusDv_0000089,MmusDv:0000089,MmusDv:0000089,18 month-old stage,Aged adult stage that refers to a mouse which is over 18 and under 19 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000059,MmusDv:0000059,MmusDv:0000059,15 weeks,3 month-old stage that refers to a mouse which is over 105 days and under 113 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000029,MmusDv:0000029,MmusDv:0000029,Theiler stage 22,Organogenesis stage during which the fingers are clearly visible and the long bones of the limbs are present.,,,
http://purl.obolibrary.org/obo/MmusDv_0000090,MmusDv:0000090,MmusDv:0000090,19 month-old stage,Aged adult stage that refers to a mouse which is over 19 and under 20 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000030,MmusDv:0000030,MmusDv:0000030,post-embryonic developmental stage,mouse life cycle that follows the embryonic development stage and during which further organogenesis and histogenesis occur.,true,,
http://purl.obolibrary.org/obo/MmusDv_0000000,MmusDv:0000000,MmusDv:0000000,mouse life cycle stage,A spatiotemporal region encompassing some part of the life cycle of an organism.,,,
http://purl.obolibrary.org/obo/MmusDv_0000072,MmusDv:0000072,MmusDv:0000072,22 weeks,5 month-old stage that refers to a mouse which is over 154 days and under 162 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000042,MmusDv:0000042,MmusDv:0000042,prenatal stage,Mouse life cycle that starts with fertilization and ends with birth.,,,
http://purl.obolibrary.org/obo/MmusDv_0000012,MmusDv:0000012,MmusDv:0000012,Theiler stage 08,"Embryonic blastula stage during which the egg cylinder differentiates into embryonic and extra-embryonic regions, and the pro-amniotic cavity appears.",,,
http://purl.obolibrary.org/obo/MmusDv_0000108,MmusDv:0000108,MmusDv:0000108,Theiler stage 12a,Theiler developmental stage 12 defined by unturned embryo with first appearance of somite pairs 1-4 and during which the allantois extends further into the exocoelom. Maxillary components of the 1st branchial arch become prominent. The preotic sulcus is visible in the 2-3 somite embryo. The cardiogenic plate begins to form and the foregut pocket is clearly visible.,,,
http://purl.obolibrary.org/obo/MmusDv_0000084,MmusDv:0000084,MmusDv:0000084,13 month-old stage,Middle aged stage that refers to a mouse which is over 13 and under 14 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000054,MmusDv:0000054,MmusDv:0000054,10 weeks,2 month-old stage that refers to a mouse which is over 70 days and under 78 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000024,MmusDv:0000024,MmusDv:0000024,Theiler stage 17,Organogenesis stage defined by the deepening of the lens pit and the first appearance of the physiological umbilical hernia.,,,
http://purl.obolibrary.org/obo/MmusDv_0000096,MmusDv:0000096,MmusDv:0000096,early immature stage,Immature stage that covers the period from birth until end of the first week.,true,,
http://purl.obolibrary.org/obo/MmusDv_0000066,MmusDv:0000066,MmusDv:0000066,17 weeks,4 month-old stage that refers to a mouse which is over 119 days and under 127 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000036,MmusDv:0000036,MmusDv:0000036,Theiler stage 27,"Stage that refers to the newborn mouse, aged E19-20, P0. Description of anatomical structures related to this stage corresponds to the first days of the mouse life. Used for postnatal days 0 through 3.",,,
http://purl.obolibrary.org/obo/MmusDv_0000006,MmusDv:0000006,MmusDv:0000006,Theiler stage 03,"Embryonic cleavage stage defined by a dividing 4-16 cells egg, early to fully compacted morula.",,,
http://purl.obolibrary.org/obo/MmusDv_0000078,MmusDv:0000078,MmusDv:0000078,7 month-old stage,Middle aged stage that refers to a mouse which is over 7 and under 8 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000048,MmusDv:0000048,MmusDv:0000048,4 weeks,Premature stage that refers to a mouse which is over 28 days and under 36 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000103,MmusDv:0000103,MmusDv:0000103,Theiler stage 09a,Theiler developmental stage 9 defined by advanced endometrial reaction and during which the egg-cylinder stage advances with the first evidence of an embryonic axis.,,,
http://purl.obolibrary.org/obo/MmusDv_0000018,MmusDv:0000018,MmusDv:0000018,organogenesis stage,"Embryonic stage at which the ectoderm, endoderm, and mesoderm develop into the internal organs of the organism.",,,
http://purl.obolibrary.org/obo/MmusDv_0000091,MmusDv:0000091,MmusDv:0000091,20 month-old stage and over,Aged adult stage that refers to a mouse which is over 20 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000061,MmusDv:0000061,MmusDv:0000061,early adult stage,Mature stage that refers to a adult mouse which is over 6 weeks and under 7 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000031,MmusDv:0000031,MmusDv:0000031,fetal stage,Prenatal stage that starts with the fully formed embryo and ends at birth.,,,
http://purl.obolibrary.org/obo/MmusDv_0000001,MmusDv:0000001,MmusDv:0000001,mouse life cycle,Temporal interval that defines mouse life from prenatal stage until late adult stage.,,,
http://purl.obolibrary.org/obo/MmusDv_0000073,MmusDv:0000073,MmusDv:0000073,23 weeks,5 month-old stage that refers to a mouse which is over 161 days and under 169 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000043,MmusDv:0000043,MmusDv:0000043,immature stage,Mouse developmental stage that covers the period from birth until 5 weeks old.,true,,
http://purl.obolibrary.org/obo/MmusDv_0000013,MmusDv:0000013,MmusDv:0000013,gastrula stage,Embryonic stage defined by complex and coordinated series of cellular movements that occurs at the end of cleavage.,,,
http://purl.obolibrary.org/obo/MmusDv_0000109,MmusDv:0000109,MmusDv:0000109,Theiler stage 12b,"Theiler developmental stage 12 defined by unturned embryo with first appearance of somite pairs 5-7 and during which neural closure occurs in the region of the 4th and 5th somites, extending in both directions from this site. Headfolds are particularly prominent. Optic placodes are first evident and become indented to form the optic pits. The heart rudiment develops rapidly. The allantois contacts the chorion at the end of this stage.",,,
http://purl.obolibrary.org/obo/MmusDv_0000085,MmusDv:0000085,MmusDv:0000085,14 month-old stage,Middle aged stage that refers to a mouse which is over 14 and under 15 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000055,MmusDv:0000055,MmusDv:0000055,11 weeks,2 month-old stage that refers to a mouse which is over 77 days and under 85 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000110,MmusDv:0000110,MmusDv:0000110,mature stage,Mouse developmental stage that refers to a sexually mature adult mouse which is over 6 weeks old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000025,MmusDv:0000025,MmusDv:0000025,Theiler stage 18,Organogenesis stage during which the lens vesicle gradually closes and the nasal pits start to form. The rapid growth of the brain is striking.,,,
http://purl.obolibrary.org/obo/MmusDv_0000097,MmusDv:0000097,MmusDv:0000097,late adult stage,Mature stage that refers to an adult mouse which is over 7 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000067,MmusDv:0000067,MmusDv:0000067,18 weeks,4 month-old stage that refers to a mouse which is over 126 days and under 134 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000037,MmusDv:0000037,MmusDv:0000037,Theiler stage 28,Postnatal development that covers the period after the TS27 stage (P0-P3 first days of life) and continuing to adulthood. P4 to adulthood.,,,
http://purl.obolibrary.org/obo/MmusDv_0000007,MmusDv:0000007,MmusDv:0000007,blastula stage,"Embryonic stage that is an early stage of embryonic development in animals and is produced by cleavage of a fertilized ovum, with formation of a central fluid-filled cavity called the blastocoel.",,,
http://purl.obolibrary.org/obo/MmusDv_0000079,MmusDv:0000079,MmusDv:0000079,8 month-old stage,Middle aged stage that refers to a mouse which is over 8 and under 9 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000049,MmusDv:0000049,MmusDv:0000049,5 weeks,Premature stage that refers to a mouse which is over 35 days and under 43 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000104,MmusDv:0000104,MmusDv:0000104,Theiler stage 09b,Theiler developmental stage 9 defined by advanced endometrial reaction and during which the first mesodermal cells are produced by gastrulation late in this stage.,,,
http://purl.obolibrary.org/obo/MmusDv_0000019,MmusDv:0000019,MmusDv:0000019,Theiler stage 12,Organogenesis stage during which first somites become visible.,,,
http://purl.obolibrary.org/obo/MmusDv_0000080,MmusDv:0000080,MmusDv:0000080,9 month-old stage,Middle aged stage that refers to a mouse which is over 9 and under 10 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000050,MmusDv:0000050,MmusDv:0000050,6 weeks,Early stage that refers to a mouse which is over 42 days and under 50 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000020,MmusDv:0000020,MmusDv:0000020,Theiler stage 13,Organogenesis stage defined by the turning of the embryo; initiated in embryos with 6-8 pairs of somites and usually completed in embryos with 14-16 pairs of somites.,,,
http://purl.obolibrary.org/obo/MmusDv_0000092,MmusDv:0000092,MmusDv:0000092,postpartum stage,Mouse developmental stage that covers the period from birth until late adulthood.,,,
http://purl.obolibrary.org/obo/MmusDv_0000062,MmusDv:0000062,MmusDv:0000062,2 month-old stage,Early adult stage that refers to a mouse which is over 2 and under 3 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000032,MmusDv:0000032,MmusDv:0000032,Theiler stage 23,Fetal stage during which the toes separate and hair follicles are present in the cephalic region but not at the periphery of the vibrissae.,,,
http://purl.obolibrary.org/obo/MmusDv_0000002,MmusDv:0000002,MmusDv:0000002,embryonic mouse stage,"Prenatal stage that starts with fertilization and ends with a fully formed embryo, before undergoing last development during the fetal stage.",,,
http://purl.obolibrary.org/obo/MmusDv_0000074,MmusDv:0000074,MmusDv:0000074,24 weeks,5 month-old stage that refers to a mouse which is over 168 days and under 176 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000044,MmusDv:0000044,MmusDv:0000044,1-7 days,Early immature stage that refers to the newborn mouse which is over 1 and under 8 days old.,true,,
http://purl.obolibrary.org/obo/MmusDv_0000014,MmusDv:0000014,MmusDv:0000014,Theiler stage 09,Embryonic gastrula stage during which gastrulation starts with first evidence of mesoderm and visible embryonic axis.,,,
http://purl.obolibrary.org/obo/MmusDv_0000086,MmusDv:0000086,MmusDv:0000086,15 month-old stage,Aged adult stage that refers to a mouse which is over 15 and under 16 months old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000056,MmusDv:0000056,MmusDv:0000056,12 weeks,3 month-old stage that refers to a mouse which is over 84 days and under 92 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000111,MmusDv:0000111,MmusDv:0000111,Theiler stage 11a,"Embryonic neurula stage during which the neural plate formation occurs and the amniotic cavity is sealed off into three distinct cavities - the amniotic cavity, the exocoelom and the ectoplacental cleft.",,,
http://purl.obolibrary.org/obo/MmusDv_0000026,MmusDv:0000026,MmusDv:0000026,Theiler stage 19,"Organogenesis stage during which the lens vesicle becomes completely closed and detached from the ectoderm, and peripheral margins of the eye become well defined.",,,
http://purl.obolibrary.org/obo/MmusDv_0000098,MmusDv:0000098,MmusDv:0000098,25 weeks,6 month-old stage that refers to a mouse which is over 175 days and under 183 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000068,MmusDv:0000068,MmusDv:0000068,19 weeks,4 month-old stage that refers to a mouse which is over 133 days and under 141 days old.,,,
http://purl.obolibrary.org/obo/MmusDv_0000008,MmusDv:0000008,MmusDv:0000008,Theiler stage 04,"Embryonic blastula stage defined by a dividing 16-40 cells egg, with early evidence of the blastocoelic cavity.",,,
http://purl.obolibrary.org/obo/MmusDv_0000105,MmusDv:0000105,MmusDv:0000105,Theiler stage 10a,Theiler developmental stage 10 during which the tissue at the posterior end of the primitive streak bulges into the pro-amniotic cavity and forms the amniotic fold.,,,
http://purl.obolibrary.org/obo/MmusDv_0000081,MmusDv:0000081,MmusDv:0000081,10 month-old stage,Middle aged stage that refers to a mouse which is over 10 and under 11 months old.,,,
